city_en,city_ru
Afragola,Афрагола
Agrigento,Агридженто
Ariccia,Аричча
Bisceglie,Бишелье
Campobasso,Кампобассо
Castelfranco Emilia,Кастельфранко Эмилия
Catania,Катания
Chiavari,Кьявари
Cordenons,Корденонс
Falconara Marittima,Фалконара Мариттима
Francavilla Fontana,Франкавилла Фонтана
Gorgonzola,Горгондзола
Lanciano,Ланчано
Malnate,Мальнате
Mesagne,Мезанье
Misterbianco,Мистербьянко
Montecchio Maggiore-Alte Ceccato,Монтекио Маджоре-Альте Чеккато
Novara,Новара
Perugia,Перуджа
Portogruaro,Портогруаро
Ragusa,Рагуза
Roseto degli Abruzzi,Розето дельи Абруцци
San Giuliano Milanese,Сан Джулиано Миланезе
Sassari,Сассари
Somma Vesuviana,Сомма Везувиана
Tortona,Тортона
Ventimiglia,Вентимилья
Villabate,Виллабате
Volla,Волла